Evohé	Riquet	« J’en suis fâché, dit [MASK], mais il y avait longtemps que j’avais envie d’éventrer un gentilhomme ! Je vous l’avais bien dit !… – Evohé ! hurlèrent alors les deux compagnons. Nunc est bibendum ! »

Quasimodo	Marigny	… Oui ! pour un jour… pour deux jours… patience ! » Et, tout haut, il ajouta : « Sire, Votre Majesté est sauvée. Voici la figurine maléficieuse que nous avons trouvée chez la sorcière… » [MASK] pâlit affreusement, mais ne broncha pas.

Elle	Valois	Tu ne diras à personne que c’est moi qui l’ai emmenée ?… » [MASK], écrasé, se redressa comme la vipère sur laquelle on marche. « C’est ma vie que vous me demandez, dit-il. Prenez-la donc ! Car elle est à vous

Elle	Mabel	Il se peut que la reine vous déteste. Mais, vraiment, elle ne peut vous faire aucun mal… – Pourquoi ? » [MASK] saisit la main de la jeune fille et dit : « Est-ce qu’une mère peut faire du mal à son enfant ?…

Quasimodo	Gillonne	A ce moment, [MASK], d’un pas furtif, sortit du logis dans l’enclos et de l’enclos sur la route. Un homme était là, qui, d’un recoin de haie où il se dissimulait, s’avançait vivement :

La Haine	Gautier	D’un même bond, les trois amis se trouvèrent l’un près de l’autre. Une seconde plus tard, quelque chose comme une déchirante clameur leur parvint. « Oh ! gronda [MASK], ce n’est pas ici une prison ! c’est l’enfer ! »

""	Marigny	? murmura [MASK], en jetant un regard de terreur sur les deux hommes masqués dont il voyait flamboyer les yeux et qui, les bras croisés, assistaient à cette scène. Ces deux-là ! Qui sont-ils ? – Les derniers représentants de la famille d’Aulnay !

Père	Myrtille	[MASK] tremblait, rougissait, palpitait, pâlissait… Le moment si terrible et si doux de l’aveu était venu ! « Père, commença-t-elle, avec le secret espoir de renvoyer cet aveu au lendemain, resterez-vous au moins quelques jours, cette fois ?

La Sorciere	Valois	Et afin que le peuple y puisse assister, elle se fera sur la place de Grève. « Au surplus, et pour me rassurer complètement, ce soir, [MASK], je viendrai au Temple : je veux voir la sorcière et lui parler moi-même. »

La mère	Valois	Puis elle se retourne vers [MASK], blanc comme un linge, tremblant comme le saule sous la tempête, et elle gronde : « – L’enfant, maintenant !… « Ah ! seigneur Buridan, ceci est affreux. Après avoir tué la mère, elle voulait tuer le fils

""	Bigorne	La chose te coûtera plus cher que tu ne crois. – Bah ! Vie pour vie, ça m’est égal de mourir quand je vous aurai laissé là-haut avec une belle cravate de chanvre au cou. – Pour belle, j’en réponds, grinça [MASK].

""	Buridan	Mais ce droit, s’il ne l’avait pas, il l’avait pris, voilà tout. Il était toujours vêtu avec beaucoup de soin, bien qu’il fût évident que ses costumes étaient achetés au rabais dans les friperies. Voilà [MASK] au physique ;

Quasimodo	Buridan	priez pour l’âme des trépassés !… » Dans la même seconde, [MASK] perçut au-dessus de sa tête, très haut dans le ciel, une clameur étouffée, une plainte déchirante… Il lui sembla que c’était le cri d’agonie de quelque oiseau nocturne blessé à mort…

Oui	Malingre	« Ou pour tout autre motif, continua [MASK]. Le motif ne sera pas difficile à trouver. L’essentiel est que l’enfant n’est pas mort. Ou, du moins, nous supposons qu’il n’est pas mort, comprends-tu ?

Elle	Myrtille	Dans l’angle le plus renfoncé de ce réduit, elle vit [MASK]… Une minute, elle la contempla avidement, silencieuse, palpitante d’une émotion qu’elle cherchait à refouler et, tout au fond d’elle-même, elle murmura : « Ma fille ! »

""	Marguerite	– Là, dans la pièce voisine de ce parloir. – Bien. Vous n’avez donc qu’à vous retirer avec vos hommes. – Et qui gardera les prisonniers ? – Cet homme, fit [MASK]. C’est lui qui, dès ce moment, m’en répond.

La reine	Stragildo	– Qui te permet de parler sans être interrogé ? gronda la reine. Hors d’ici, chien !… » [MASK], l’échine basse, vraiment pareil au chien battu qui rampe, se glissa hors de la pièce, mais, plus que jamais, un sourire d’ironie retroussait ses lèvres.

Elle	Marigny	, vous, ces femmes, après m’avoir maudite, diront : « Si elle avait eu sa fille près d’elle, sans doute, nous n’aurions pas de reproches à lui faire… Qu’avez-vous à dire à cela, [MASK] ?

Quasimodo	Buridan	Et elle lui avait raconté que son père, maître Claude Lescot, ne voulait pas entendre parler de [MASK]… Le jeune homme ne s’émut pas autrement de cette nouvelle, se chargeant, prétendit-il, de faire revenir le digne commerçant sur ses préventions.

Quasimodo	Satan	fit une voix, en même temps qu’une tête grimaçante, éclairée par un lumignon fumeux, s’encadrait au châssis d’une étroite fenêtre. – De l’argent ! ricanèrent les compères. De l’or ! De quoi nous emplir la panse ! De quoi faire gambiller tes jambes fourchues à la manière de [MASK]

Claude	Buridan	!… Oh ! vous me tuez tous deux !… – Ton père ! gronda [MASK]. Tu dis que cet homme est ton père !… – Le bon Claude Lescot, oui, mon bien-aimé !… Mais tu ne savais pas, n’est-ce pas ?

""	Buridan	» Une épouvante insensée se déchaîna dans le cœur de [MASK]. « Mais pourquoi ? hurla-t-il, en saisissant ses cheveux à pleines mains. – Parce qu’elle est accusée de maléfice contre le roi ; les archers criaient : « Mort à la sorcière !

Elle	Mabel	Nous sommes alliés. Voilà des raisons suffisantes, je pense ? – Il faut, dit [MASK] d’une voix aux vibrations contenues, que votre situation soit bien terrible pour que vous vous abaissiez à supplier ainsi une simple suivante… –

Madame	Philippe	– Madame, répéta [MASK], je désire vous parler… à vous seule. Peut-être daignerez-vous me pardonner, quand vous connaîtrez les causes de mon attitude, qui, à bon droit, je le confesse, peut vous sembler étrange. »

Quasimodo	Marigny	Au lieu de se rendre à la galerie au fond de laquelle se trouvait l’oratoire de la reine, [MASK] descendit, traversa plusieurs cours, parvint sur les derrières du bâtiment qu’il venait de quitter, monta un escalier, arriva devant une porte secrète, et, là, haletant, frappa trois coups.

La Hire	Jeanne	Il parlait tout bas. Il marchait sur la pointe de ses grosses bottes, qui, en dépit de ses efforts, faisaient craquer le plancher. [MASK] entrouvrit la porte et le roi passa la tête, doucement, les yeux écarquillés par la douleur.

Quasimodo	Marguerite	« Si je montais l’escalier… si j’ouvrais la porte de la chambre où est enfermée la fille de [MASK]… si je l’entraînais… serait-ce donc une chose si difficile ?… » Tout doucement, elle se dirigeait du côté de l’escalier.

""	Sire	– Vous l’avez donc vue, [MASK] ? – Elle s’est démasquée un instant. Jamais je n’oublierai ces traits à la fois jeunes et fanés d’une éclatante beauté sans doute, et creusés, semble-t-il, par les souffrances.

Quasimodo	Valois	N’a-t-elle pas réussi, au fond de son cachot, à établir quelque maléfice dont la reine serait victime ? » [MASK] frémit, mais il répondit d’une voix calme : « Sire, la prisonnière est surveillée à chaque heure du jour et de la nuit.

""	Buridan	Elle garda un instant le silence. Il l’entendait haleter et murmurer des paroles incompréhensibles. « Vous m’avez dit, reprit-elle tout à coup, que vous n’avez connu ni votre père ni votre mère… – C’est vrai, dit [MASK] d’une voix assombrie.

Quasimodo	Mabel	Je les connais, moi !… Pourquoi ne profiterais-je pas de son sommeil ? Je serais de retour dans une heure au plus… Oui, il faut en profiter ! » Rapidement et sans bruit, [MASK] traversa son laboratoire, descendit et sortit du logis hanté…

La Haine	Mabel	[MASK] n’avait pas bronché ; pas une fibre de son visage n’avait tressailli. Mais elle était si pâle, qu’on eût dit qu’elle allait tomber. Ses regards se levèrent. Et ce cri du fond d’elle-même monta jusqu’à ses lèvres, où il expira en une sorte de grondement :

""	Marguerite	» D’un élan passionné, le jeune homme porta à ses lèvres cette main qu’il tenait dans la sienne et y déposa un furieux baiser qui fit frémir l’inconnue. « Je connais [MASK], continua-t-elle d’une voix plus basse, plus rauque ;

Quasimodo	Buridan	Ces deux-là ! Qui sont-ils ? – Les derniers représentants de la famille d’Aulnay ! » dit [MASK]. Au même instant, il se mit en garde, et les deux épées se touchèrent… A ce moment, un cri déchirant retentit.

La Reine	Stragildo	A ce moment, [MASK] reparut, hagard, et bégaya : « Madame, ce truand a dit vrai ! Il n’y a plus moyen d’ouvrir la porte ! – Qui te permet de parler sans être interrogé ? gronda la reine. Hors d’ici, chien !

Myrtille	Marigny	Myrtille n’est pas votre fille à vous seul. Elle est aussi la mienne. Qu’avez-vous à dire à cela, [MASK] ? » Le ministre s’inclina sans répondre. « Vous l’aimez, continua la reine, mais je l’aime aussi, moi…

""	Haudryot	tonnait Bourrasque. – Ohé ! tavernier des tripes du diable ! rugissait [MASK]. – Avez-vous de l’argent, mes maîtres ? fit une voix, en même temps qu’une tête grimaçante, éclairée par un lumignon fumeux, s’encadrait au châssis d’une étroite fenêtre.

Raphaël	Mabel	Rapidement, elle lui arracha le flacon qu’il apportait. « Vide ! rugit-elle dans un éclat de rire strident. – Il a bu, affirma le valet. – Courons ! râla [MASK]. Il n’y a pas longtemps. On peut le sauver encore !

Marguerite	Myrtille	… la reine Marguerite de Bourgogne ! Je dis : ta mère ! » Cette fois, [MASK] frissonna et son cœur se mit à battre comme si elle eût redouté un malheur. « Mme la reine a versé le poison… c’est possible, dit-elle ;

""	Galilée	Il saurait bien, lui, nous conduire dans les endroits où l’on mange. – Et où l’on mange bien ! approuva l’empereur de [MASK]. Te rappelles-tu le souper qu’il nous fit servir à la Fleur-de-Lys ? –

Quasimodo	Valois	– Mon fils ! » murmura [MASK] en baissant la tête où tourbillonnaient d’étranges pensées. Puis, faisant un geste, comme pour se débarrasser du fardeau de ses pensées, d’un pas ferme, il marcha jusqu’au seuil de la chaumière.

Quasimodo	Blanche	En même temps, [MASK] le poussait doucement vers l’oratoire. « Allez, Sire, allez… Laissez-nous faire… – Mais cependant… – Vous voulez donc que la fièvre revienne ? Si la reine vous voit ou vous entend, elle va s’agiter… elle vous aime tant !

Quasimodo	Gautier	Un hoquet d’agonie râla sur les lèvres livides de [MASK] et, paralysé par l’angoisse à son paroxysme, il s’abandonna !… Lorsque, l’instant d’après, on le souleva, lorsqu’on l’introduisit dans le sac funèbre, il n’opposa aucune résistance.

Quasimodo	Marguerite	… Comme il doit pleurer et se désespérer ! Ah ! dans l’affreuse situation où je me trouve, c’est cela, voyez-vous, qui me fait le plus de mal… – Je ne connais pas votre père », dit sourdement [MASK].

Elle	Stragildo	La reine regarda derrière elle, et voyant qu’elle avait le temps de parler, consulta une dernière fois ses sœurs d’un coup d’œil. « Oui, répondirent-elles des yeux. – [MASK] ! » fit la reine Marguerite.

""	Lancelot	Instantanément, [MASK] remarqua deux choses d’une extrême importance dans la situation d’esprit où il se trouvait. D’abord, la voix du fantôme était franche et naturelle, bien qu’un peu sourde et presque tremblante d’une émotion de colère ou de joie mauvaise.

la fumée	Gautier	Le mien tomba, puis celui de [MASK]… puis celui de notre serviteur. « Nous n’étions plus qu’à deux petites lieues du manoir que nous cachait l’épaisse forêt. Mais au-dessus des arbres, au loin, je voyais une fumée monter dans le ciel pâle.

Elie	Mabel	Quand comptez-vous donner l’élixir ? demanda [MASK] d’une voix indifférente. – Que t’importe ! gronda la reine. – Il m’importe peu, à moi, bien qu’enfin je puisse m’intéresser à mon œuvre. Mais il vous importe beaucoup à vous.

Elle	Gautier	Tant qu’elle nous croit morts, je n’ai rien à dire. Mais si elle sait que nous avons échappé au sac du sieur Stragildo, je ne donnerai pas une maille de notre peau. » [MASK] poussa un profond soupir et assena un coup de poing sur la table.

Quasimodo	Malingre	« Comment était-il, l’enfant ? demanda-t-il sourdement. L’enfant, ou plutôt le jeune homme, d’après l’âge que tu dis ? – Je n’en sais rien, répondit [MASK]. En effet, ce jeune homme, je ne l’ai jamais vu.

La Hire	Valois	» [MASK] eut un tressaillement, avant-coureur des épouvantes qui saisissent l’homme quand il se voit placé au bord d’un abîme où il va tomber s’il fait un faux pas, où il tombera mieux encore s’il ne tente aucun mouvement.

""	Malingre	Il se contint cependant en se disant que peut-être [MASK] lui était dépêché par le comte de Valois. Car, qui lui prouvait que le comte de Valois ne s’était pas douté de la vérité, et n’avait pas dès lors intérêt à savoir ce qu’était devenu cet enfant qui était son fils

Quasimodo	Valois	Mais quel rapport les amours de la reine Marguerite avec [MASK] peuvent-ils avoir avec la corde toute neuve dont tu as failli être cravaté ? – Patience, monsieur ! Vous allez le voir, le rapport ! Ah ! il y est bien, le rapport !

La foule	Marguerite	Le capitaine des gardes ne s’était pas couché, ayant passé la nuit à prendre des mesures pour la journée du lendemain. « Capitaine, demanda [MASK], j’ai entendu parler d’une émotion parmi les écoliers. Que se passe-t-il ?

""	Marguerite	; je puis lui dire quelle passion elle a inspirée… Je crois… je suis sûre qu’elle sera touchée… – Madame ! oh !… que dites-vous !… – La vérité !… [MASK], peut-être, n’est pas la pureté que vous dites !

""	Valois	« Attention ! dit [MASK]. Il s’agit d’une sorcière. Ainsi, que chacun prenne garde et se recommande au saint qu’il préfère. » Des imprécations éclatèrent parmi les soldats, des cris de haine, des insultes, des menaces. «

le comte	Bigorne	» Ici, le comte fit un brusque mouvement, non dans l’espoir de fuir, car il était solidement harponné, et déjà [MASK] lui liait les mains derrière le dos, mais dans l’espoir d’être tué tout de suite d’un coup de dague.

""	Marguerite	[MASK] s’était jetée dans un vaste fauteuil, et, les pieds sur un coussin richement brodé, le coude sur le bras du fauteuil, le menton dans la main, en une pose de gracieuse mélancolie, fixait le premier ministre. «

Frollo	Marigny	Celui qui nous appelle est un ennemi de [MASK], voilà tout. Et c’est assez ! Cet homme, fût-il un démon, je le bénirai s’il nous donne le moyen de venger notre père et notre mère. »

""	Marguerite	Qui êtes-vous ? répéta-t-elle d’une voix qui demeurait ferme. Quand la reine ordonne, il faut obéir ! Parlez ! » D’un même geste alors, les deux hommes arrachèrent les masques qui couvraient leurs visages. Un instant, [MASK] demeura comme hébétée de stupeur.

Elle	Buridan	« Cette fois, vous êtes venu ! dit-elle d’une voix qui parut au jeune homme avoir d’étranges intonations. – Conduis-moi ! dit [MASK] d’un ton bref, j’ai hâte de rendre hommage à cette beauté inconnue que tu as qualifiée puissante… »

Elle	Mabel	Au moment où elle allait mettre le pied sur la première marche de l’escalier,’la reine, tranquillement, prononça : « Demeure ici, [MASK], tu n’es pas de trop, et je vais avoir besoin de toi… »

Hérode	Mabel	!… » [MASK] se laissa tomber à genoux, la tête dans les mains, et murmura : « Toujours il y aura donc un événement imprévu ou une pensée terrible venant se dresser entre ma vengeance et moi !… L’autre soir, tout était prêt !

