Elle aime ça	Jack	Cependant elle prit une bûche, la jeta dans les braises, puis une seconde, puis une troisième. « [MASK] aime ça », déclara-t-elle, sur un ton de bravade. Elle demeurait agenouillée, tournant le dos, les yeux dans la flambée qui lui grillait le visage.

Quasimodo	Antoine	Inattentif, le front à la vitre, gagné par la tristesse de ce paysage étranger, [MASK] se sentait complètement dépourvu. Les difficultés de son entreprise se dressaient devant lui, accablantes, et il s’alarmait de l’infériorité à laquelle cette nuit d’insomnie le condamnait.

""	Messaline	? Certains soirs. Dans sa chambre, un air trop lourd. Le livre tombe. Il souffle la lampe et part dans la nuit, jeune loup. Rome de [MASK], quartiers sordides semés de pièges et d’attraits. Lueurs équivoques sous le rideau effrontément baissé.

""	Jacques	; mais, calmement, il supputait ses chances. Plus la crise se prolongeait, et plus il se persuadait que [MASK] se trouverait acculé à la résignation. Il avait retiré sa main. Il promenait ses regards autour de lui et pensait rapidement à cent choses.

La Haine	Antoine	In-a-vouable ! » (Et ce mot, chargé par lui de tout l’opprobre du monde, ce mot pesant et mou, qu’il répétait d’une voix désespérée, l’apaisait peu à peu autant qu’une confession.) [MASK] s’était entièrement retourné.

Elle	Jalicourt	Il ne tenait plus en place. Il se leva. – « J’ai reçu ce fascicule à la fin des vacances », expliquait [MASK]. « J’ai tardé à répondre, je n’ai pu m’exécuter qu’hier.

Sybil	Antoine	[MASK] la lit en entier, malgré d’insupportables « fioritures » : Sybil, sous la pergola, au bord du soleil. Pensive. Sa main, dans la lumière, appuyée au pilier blanc. Elle guettait ? – Je vous ai attendu hier.

Quasimodo	Antoine	» À plusieurs reprises, il fut frappé du regard absorbé que son père tournait vers lui ; ce regard semblait poser une question. « Jusqu’à quel point est-il inquiet de son état ? » se demandait [MASK].

La Hire	Antoine	« Tu dois avoir du mal à comprendre ce qu’il représentait, aux yeux de ma génération ! » Et, changeant d’attitude, il vint s’asseoir en face d’[MASK], dans le fauteuil qui était près du poêle.

Mon frère	Jalicourt	Mon frère a disparu. » – « Comment, disparu ? » – « Disparu depuis trois ans ! » [MASK], assez brusquement, avait avancé la tête. À travers le monocle, son œil myope et perçant dévisageait le jeune homme, de tout près.

Seregno	Antoine	[MASK] passe. Il feuillette le chapitre suivant. Il voudrait retrouver cette page sur le père Seregno. Voici… Non, il s’agit du palais Seregno, une vieille demeure sur le bord du golfe : … de longues fenêtres cintrées qu’encadrent des rinceaux peints à la fresque…

""	Jacques	; les répliques s’étaient enchaînées, de plus en plus blessantes ; le poing du père martelait la table… Poussé à bout, cédant à un coup de folie incompréhensible, [MASK] avait, comme un défi, lancé le nom de Jenny ;

La vieille	Jacques	Ce cri expliquait aussi son remords, confusément révélé, d’avoir été cause de la disparition de [MASK]. Et peut-être bien ce taciturne repentir n’était-il pas complètement étranger à la crise d’albumine qui avait tant affaibli le vieillard à la veille de son opération.

Père	Giuseppe	– Je vais me tuer. D’un bond, il saute les degrés. Le père a levé la main. – Va-t’en, mauvais fils. [MASK] ne tourne pas la tête. La voix du père s’élève une dernière fois : – Maudit.

""	Antoine	! [MASK] vacilla, et, cédant à une seconde de panique, descendit précipitamment quelques marches. Il respirait avec effort : une tendresse, surgie des profondeurs, se dilatait soudain dans sa poitrine, l’étouffait. Et tous ces inconnus… Que faire ? Partir ?

Elle	Gise	Mais il ne maîtrise pas une surprise irritée, où se glisse de la rancune : il n’a pas oublié le jour où [MASK] s’est si farouchement cabrée devant ses timides avances. Cette lecture réveille presque son désir pour elle : un désir tout physique, un désir libéré.

Hippolyte	Antoine	Un soupçon involontaire, qu’il s’efforça d’écarter, assiégeait la pensée d’[MASK]. Un malaise, croissant de minute en minute, l’étreignait ; qui se dissipa d’un coup lorsqu’il reconnut le pas de son frère sur le palier.

l'amour	Gise	Pourquoi avait-il tout à coup perdu sa direction, cédé à cet accès d’humeur ? Parce que [MASK] était en cause ? Et que faire, maintenant ? S’expliquer, s’excuser ? Était-il encore temps ? Ah, il se sentait prêt à toutes les réparations

Quasimodo	Jacques	Que me conseillez-vous ? Faut-il essayer ? » [MASK] réfléchit assez longtemps avant de répondre. – « Oui. C’est le seul moyen, maintenant, de savoir. » L’autre s’agita. – « À la bonne heure ! Je m’en doutais !

""	Sybil	Il prend un temps, il détache les syllabes : – Je suis fiancé à [MASK]. Le père éclate de rire. Un rire effrayant. Debout, redressé, grandi par l’ombre qui le prolonge, immense et théâtral, Titan nimbé de lune. Il rit.

La Hire	Rosengaard	Il a déchiré le manifeste de [MASK], sans le lire ! Tout est corrompu, là-dedans. » Il répéta : « Tout est corrompu », d’une voix sourde et indignée ; mais, en même temps, un sourire d’une angélique indulgence illuminait ses lèvres de petite fille.

Quasimodo	Antoine	. « Aucune envie de dominer, rien de ce qu’on appelle en général ambition. La preuve : mon existence ici ! Et pourtant, je te jure, [MASK] : ici, j’ai été pleinement heureux ! »

La	Mademoiselle	La… la… la… lamourette… Hop… hop… au rendez-vous ! – « Ah ! je ne sais plus », fit-il, agacé. « C’est une chanson que [MASK] connaît bien, elle aussi. Elle la chantait à la petite… »

Thibault	Antoine	; on le consultait, on quêtait son approbation, on craignait son blâme ; manifestement aussi, on venait se réchauffer le cœur près de lui. « C’est un Thibault !… » se dit [MASK], satisfait. Mais aussitôt une tristesse l’envahit.

""	Schneebach	: – « Elle m’a dit, à moi : “Si j’avais du courage, il y aurait bien un moyen d’en finir.” » – « Vous voyez ? Alors, que voulez-vous que je fasse ? » – « Mais [MASK] ? »

Emma	Vanheede	– « Tu n’as pas été souffrant, [MASK] ? » – « Non, non… Un peu fatigué. » Il ajouta, souriant avec rancune : « Je me sens si mal à l’aise, savez-vous, dans leur grande baraque ! »

Emma	Jacques	La première fuite de [MASK] pouvait, à la rigueur, être pathologique. Mais cette disparition, pendant trois ans ?… Et pourtant nous n’avons rien trouvé dans sa vie qui ait pu motiver son départ : il semblait heureux ; il avait passé ses vacances, au calme, avec nous

Elle	Jacques	[MASK] n’avait pas bronché. Son père ? Pensait-on que la mort de son père pouvait l’atteindre dans cette vie toute neuve qu’il s’était faite, le débucher de son refuge, changer quoi que ce fût aux motifs qui avaient exigé sa disparition ?

Emma	Jacques	C’était le plus simple : ce geste supprimait toute explication. [MASK] saisit la lettre, la parcourut, puis s’approchant de la fenêtre, il se mit à la lire, posément, les paupières baissées, la bouche close, impénétrable.

Quasimodo	Sybil	il s’était bien rarement trouvé si peu maître de lui. Le début, d’ailleurs, avait de quoi dérouter : Pleine chaleur. Odeur de terre séchée, poussière. Le chemin grimpe. Les étincelles jaillissent du roc sous le fer des chevaux. [MASK] est en avant.

Quasimodo	Antoine	» cria-t-il encore, en essayant de se soulever. Il ouvrit les yeux, parut rassuré par la présence d’[MASK] et tourna vers lui son regard voilé de larmes : – « Le malheureux », balbutia-t-il. « Ces huguenots l’ont attiré, mon cher…

""	Antoine	« Ce n’est pas seulement pour échapper à l’embrigadement ni par dégoût pour cet appareil scolaire, non… Mais cette vie dérisoire, [MASK] ! » Il s’était arrêté ; il répéta : « Dérisoire ! » en fixant sur le plancher un regard têtu. –

Elle	Giuseppe	Bras écartés, lèvres jointes, l’œil dur. Dès qu’elle est seule, tout redevient clair, la vie ne lui a été donnée que pour rendre [MASK] heureux. C’est quand il n’est pas là que je l’aime.

Hippolyte	Antoine	» [MASK], précipitamment, coupa court : – « En tout cas, tu devrais… Tant qu’on n’aura pas trouvé la cause… Une migraine, ce n’est pas une maladie, c’est un symptôme… »

""	Jacques	Ça ?” Il avait saisi le revers où était sa rosette, et il le secouait, en s’acharnant : “Ça ? Dites ? Ça ?” » (Empoigné par son récit, [MASK] s’était levé ; il mimait la scène avec une fougue croissante.

La cloche de la vache qui mène	Antoine	Il siffle pour appeler sur ses talons deux chiens blancs. La cloche de la vache qui mène, tinte. Immensité. Soleil. Les pieds font des trous d’eau dans le sable. Ces descriptions agacent [MASK], qui passe deux pages.

normal	Antoine	– « Vois-tu, [MASK], ce qui est effrayant, c’est de ne pas savoir ce qui est… normal… Non, pas normal, c’est idiot… Comment dire ?… Ne pas savoir si les sentiments qu’on a… ou plutôt les instincts…

Antoine	Jacques	Ce fut seulement alors que [MASK] remarqua le sourire de son frère. Il se souvenait d’un Antoine contracté, brutalement énergique ; ce sourire-là était pour lui d’une émouvante nouveauté. Craignit-il soudain de s’attendrir ? Il crispa les poings et secoua les bras :

Hippolyte	Jacques	Interrompu net au milieu d’une phrase, il conservait sur son visage pétrifié l’expression d’une gaieté dont ne subsistait que la grimace. Cela ne dura qu’une dizaine de secondes. Déjà [MASK] s’était dressé, mû par cet unique souci : avant tout, donner le change, pas de scandale.

""	Antoine	– « Ah ? C’est peut-être ma nouvelle qui t’a mis au courant de cet envoi de fleurs ? » [MASK] n’était plus maître de lui : – « Non », répliqua-t-il, affectant le calme, et détachant les syllabes d’une voix mordante

Hector	Antoine	[MASK] réfléchissait. « Cela ne suffit pas à expliquer la température », se dit-il. – « L’important… » – il fit un geste énergique – « … c’est d’extirper immédiatement tout germe de soupçon. » Un projet insensé lui traversa l’esprit ; il se contint.

Quasimodo	Jacques	Il s’assit. Il ne quittait pas des yeux la lettre dépliée devant lui sur son bureau. Au fond, que [MASK] fût vivant ne le surprenait guère : jamais il n’avait eu, lui, aucune raison de supposer un suicide.

Hunchback	Oche	– « Les Dents d’[MASK] », fit-il, en étendant le bras. Du lac, la ville étagée masquait la rive la plus proche ; et l’autre bord, à contre-jour, n’était qu’une falaise d’ombre derrière un voile de pluie.

""	Antoine	L’excitation de la morphine aidant, il ne résista pas à la tentation d’improviser, pour lui-même et pour son fils, le spectacle d’une fin édifiante. – « M’écoutes-tu, [MASK] ? » demanda-t-il à l’improviste. L’intonation était solennelle.

Quasimodo	Adrienne	Lorsqu’il se vit seul, livré aux puissances mauvaises qui planaient dans cette chambre silencieuse et presque obscure, l’épouvante le prit. Il voulut appeler, mais la crise reprenait avec une violence nouvelle. Il saisit la sonnette et sonna désespérément. Ce fut [MASK] qui accourut.

""	Antoine	» Le vent était tombé, il bruinait, et la lueur des réverbères n’était qu’un halo dans le brouillard. Il était trop tard pour entreprendre des démarches ; [MASK] ne songeait qu’à rentrer au plus tôt. Pas de taxi à la station.

1913	Antoine	[MASK] zigzaguait parmi les joueurs, cherchant quelque place à l’écart. Le grouillement de ces êtres jeunes le distrayait un instant de sa préoccupation, et, pour la première fois, il sentit peser sa trentaine. « 1913… », songeait-il ;

""	Antoine	! – « Pendant ce temps-là », chuchota la sœur, « il ne se plaint pas. » [MASK] s’éloigna, le cœur serré. Comme il passait devant la loge, il fut hélé par la concierge. Le facteur venait de déposer quelques lettres.

Elle	Antoine	Mais, devant la porte, [MASK] s’arrêta, dégagea son bras, et dit, d’une voix naturelle : – « Voyons, tu as certainement des choses à faire, avant ce soir ? je vais te laisser ? Je vais visiter la ville… » –

Emma	Daniel	Les moins mauvaises des choses que j’ai écrites, ces dernières années… » Il avait passé le seuil, lorsque, se retournant avec gaucherie, il jeta, d’un ton léger : – « Au fait, tu ne me parles pas de… de [MASK] ?

Elle	Clotilde	[MASK] aurait-elle raison ? Alors, et lui ?… Sa vieillesse lui apparut : la misère… Il se mit à trembler, comme chaque fois qu’il rassemblait tout son courage ; et, sans bruit, il glissa de sa chaise.

Emma	Antoine	une à une. Par moments, tel geste d’[MASK] – cette secousse de l’épaule et ce clignement de paupières, cette façon d’ouvrir la main en donnant une explication – le frappait soudain comme la rencontre d’une image jadis familière et totalement effacée de sa mémoire.

Pan	Jalicourt	: comme un imbécile ! J’ai retrouvé mes bouquins, mes maîtres, mes camarades, la concurrence, les revues d’avant-garde, les parlotes, – un bel avenir ! Un bel avenir !” Pan ! la main de [MASK] s’abat sur mon épaule.

Quasimodo	Antoine	– « Et puis un poids, là… une oppression… » [MASK] approuvait de la tête. – « C’est assez curieux », déclara-t-il à la religieuse. (Il ne savait pas, cette fois, ce qu’il allait imaginer.) «

""	Antoine	; sa bouche, contractée, parvint à réprimer un sanglot ; puis, avec un soupir où s’exhalait sa colère, s’abandonnant soudain comme découragé de sa faiblesse, il laissa tomber son front sur l’épaule d’[MASK], et répéta de nouveau, les dents serrées

""	Ruskinoff	Quand pense-t-il faire paraître son livre ? » – « Il ne dit pas. » – « [MASK] prétend que c’est une chose bouleversante, tu sais. » – « Et comment serait-ce autrement ? Un livre qu’il a entièrement écrit dans la prison

""	Antoine	[MASK] reprit le fascicule et chercha la dédicace autographe : Ne m’avez-vous pas dit, ce fameux soir de novembre : « Tout est soumis à l’action de deux pôles. La vérité est toujours à double face ? » L’amour aussi, quelquefois. « Évidemment

grommela	Antoine	» grommela-t-il dès que ce fut fini. « Il est tellement plus épais, celui-ci ! C’est du feu qui entre sous la peau ! Et cette odeur, sens-tu ? L’autre au moins, était inodore ! » [MASK] s’était assis.

Elle	Jacques	Il cherchait quelque sujet simple et sans danger, qui les eût tous deux acheminés vers plus d’intimité ; mais rien de tel ne se présentait. La situation allait devenir critique, lorsque [MASK], brusquement, ouvrit la croisée et recula dans la pièce.

