Phryné	Alvard	Il s’agit d’[MASK], le célèbre sculpteur, vous savez, celui qui a exposé au Salon, l’an dernier, cette merveilleuse Phryné ? Mais, dites donc, ajouta le docteur en riant, j’espère que votre enquête ne cache aucun dessein ténébreux ?

Quasimodo	Raoul	Ah ! cabotin, si vous m’aviez seulement effleuré la bouche, je vous tuais comme un chien. [MASK] était exaspéré. — Assez de bêtises ! Vous n’êtes pas venue pour me dénoncer, ni me tuer, n’est-ce pas ? Parlez, crebleu !

Douze jours	Rolande	Elle avait les yeux rouges et la figure bouleversée. — Alors, [MASK], votre mariage… à quelle date ? Elle riposta nettement, comme si elle prenait une décision soudaine : — Douze jours. Le temps de publier les bans.

Elise	Faustine	Ça vous amuse plus de poser dans cette tenue que de soigner vos malades de la clinique ? — Il y a peu de malades en ce moment, dit-elle, et mes heures d’après-midi sont libres. — Et vos soirées aussi, et vos nuits également. Profitez-en, [MASK].

""	Félicien	: — Soit. Seulement… — Seulement ?… — Tout dépend du prix. Je risque beaucoup plus que tu ne crois. — Aussi seras-tu payé beaucoup plus que tu ne vaux. — Combien ? — Cent mille le jour où [MASK] sera élargi.

Hector	Félicien	Nulle appréhension, du reste, n’avait effleuré [MASK] qui s’éloigna sans soupçonner un instant qu’il avait pu être surveillé. Il traversa l’extrémité de la cour, sortit, et, du dehors, ferma la serrure à clef et le verrou à clef.

Vivement	Saint-Germain	Vivement, l’auto escalada la côte. — Où allons-nous ? dit-elle. Si c’est un piège, tant pis pour vous ! Il ne répondit pas. À [MASK], il s’arrêta devant un grand magasin de confection et acheta une blouse et un voile d’infirmière.

Elphaba	Raoul	Ils retournèrent dans le jardin, et [MASK] demanda à la jeune fille : — Vous m’avez raconté, mademoiselle, que, quand vous avez enjambé la fenêtre de votre studio, hier, vous avez aperçu le meurtrier de votre sœur qui, dans sa fuite, ramassait quelque chose

""	Élisabeth	Ce vieil ami de nos parents, un cousin éloigné qu’on n’a pas revu depuis des années et des années et qui n’a pas donné de ses nouvelles, mais qui nous aimait bien… Que de fois, ma vieille gouvernante Amélie m’a dit : “Mademoiselle [MASK], vous serez très riche.

Héloïse	Rolande	[MASK] marcha vaillamment jusqu’au cimetière et ne détourna pas ses yeux de la tombe ouverte. Sur le cercueil, elle garda son bras tendu et chuchota des mots que l’on n’entendit point, des mots certes par quoi elle disait à sa sœur tout son désespoir et lui jurait de rester fidèle à son souvenir.

Monsieur le curé	Rolande	Veuillez l’avertir de ma visite. [MASK], arrêtée sur le seuil, examina le nouveau venu et prononça : — Je ne crois pas avoir l’honneur, monsieur… Sans mot dire, il lui tendit sa carte. Elle y jeta un coup d’œil et fut troublée.

Goussot	Raoul	le mieux est que vous l’envoyiez cueillir… Par l’inspecteur principal Goussot ? Très bonne idée. Oh ! ne craignez rien. Il ne m’échappera pas. Il est couché par terre, ligoté… Merci, monsieur le juge d’instruction. [MASK] raccrocha.

Quasimodo	Rolande	Comprends-tu maintenant, misérable, comprends-tu ?… » La voix de [MASK] se faisait de plus en plus âpre. Elle frémissait de mépris et de haine. De tout son être, la jeune fille menaçait et insultait. Mais à quoi bon ces menaces et ces injures

Quasimodo	Raoul	Le jeune homme essaya de répondre, mais s’évanouit. [MASK] s’agenouilla vivement, écouta le cœur, examina la blessure, mania le revolver et se dit : « – Il a voulu se tuer. Mais son bras a tremblé et ce ne sera pas très grave.

""	Barthélemy	Il ne me connaissait pas. — Si. — Allons donc ! — Il a été sous tes ordres. — Qu’est-ce que tu me chantes ? — Un de tes anciens complices. — [MASK] ? — Il ne s’appelait pas ainsi. — Comment s’appelait-il

""	Averny	Il s’est enfermé tout de suite dans le pavillon. — Bizarre…, murmura d’[MASK]. Il courut au pavillon. La porte était verrouillée. Inquiet, il fit le tour, secoua la fenêtre de sa chambre, ne put l’ouvrir et prêta l’oreille.

Elle	Rolande	La coupure est très nette et toute fraîche. [MASK] observa : — Depuis une semaine, dit-elle, ma sœur allait chaque jour, à la même heure, chercher la barque. Celui qui l’a tuée le savait donc ? et il aura donc tout préparé ?

""	Goussot	Envolée ! Dès midi, elle avait reçu un coup de téléphone de M. d’Averny. [MASK] a couru à la pension où elle vivait. Envolée ! À midi et demi, elle avait rejoint une automobile. La vôtre, sans doute ?

