,droit_d_auteur,Llama2-7B Accuracy,Pythia7B Accuracy,Pythia12B Accuracy,Olmo-7B Accuracy,Mistral7B Instruct Accuracy,Mixtral7x8B Accuracy,Mistral7B Accuracy,GPT-4 Accuracy,ChatGPT Accuracy,BERT Accuracy,Author,Title,Year,Bing Hits,Google Hits,Dolma Hits,C4 Hits,Pile Hits,Source,Sub-source,average,Source：Sub-source,ChatGPT predicted year,GPT-4 predicted year,ID,Date of Birth,Date of Death
0,public,0.01,0,0,0.24,0.41,0.47,0.68,0.98,0.82,0,Lewis Carroll,Alice's Adventures in Wonderland,1865,14.6,2590.9,20.9,56.3,43.1,pre-1923 LitBank,,,pre-1923 LitBank,1865,1865,11_alices_adventures_in_wonderland,1832-01-27,1898-01-14
6,public,0,0,0,0.07,0.04,0.01,0.06,0.62,0.13,0,Jane Austen,Pride and Prejudice,1813,6.6,24204.4,28.8,36.7,27,pre-1923 LitBank,,,pre-1923 LitBank,1813,1813,1342_pride_and_prejudice,1775-12-16,1817-07-18
35,public,0,0,0,0.06,0,0.01,0,0.33,0.02,0.01,Ann Ward Radcliffe,The Mysteries of Udolpho,1794,0.1,1.4,1.4,0,10.1,pre-1923 LitBank,,,pre-1923 LitBank,1794,1794,3268_the_mysteries_of_udolpho,1764-07-09,1823-02-07
1,private,0,0,0,0.04,0.07,0.11,0.16,0.76,0.43,0,J.K. Rowling,Harry Potter and the Sorcerer's Stone,1997,6.4,3074.1,27.6,4.7,7.6,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1997,1997,rowling_harry_potter_and_the_sorcerers_stone_Harry_Potter_and_the_Sorcerer_s_Stone,1965/7/31,
82,private,0,0.02,0,0.04,0.03,0.07,0.05,0.13,0.05,0,James Kahn,Return of the Jedi,1983,2.9,51.9,1.5,3.4,9.4,Bestsellers,,,Bestsellers,1983,1983,kahn_return_of_the_jedi_Return_of_the_Jedi,1947/12/30,
4,public,0,0,0.01,0.03,0.02,0.07,0.03,0.7,0.1,0,Jane Austen,Emma,1815,2.5,79,21.6,7.5,19.1,pre-1923 LitBank,,,pre-1923 LitBank,1815,1815,158_emma,1775-12-16,1817-07-18
38,private,0,0,0,0.03,0.04,0.05,0.07,0.28,0.12,0,J. R. R. Tolkien and Christopher Tolkien,The Silmarillion,1977,6.3,4704.8,12.5,8.9,5.4,Bestsellers,,,Bestsellers,"Unknown (This passage is from J.R.R. Tolkien's ""The Silmarillion,"" which is a work of fiction set in a mythical world and does not correspond to any specific year in human history.)",1954,tolkien_silmarillion_The_Silmarillion,1924/11/21,2020/1/16
2,public,0,0.01,0.02,0.02,0.08,0.06,0.06,0.74,0.29,0,Nathaniel Hawthorne,The Scarlet Letter,1850,12.1,993.1,19.5,4.6,23.5,pre-1923 LitBank,,,pre-1923 LitBank,1850,1850,33_the_scarlet_letter,1804-07-04,1864-05-19
5,public,0,0,0,0.02,0.03,0.03,0.05,0.65,0.19,0,Mary Wollstonecraft Shelley,"Frankenstein; Or, The Modern Prometheus",1823,12.5,694.9,38.9,8.8,31.3,pre-1923 LitBank,,,pre-1923 LitBank,1818,1818,84_frankenstein_or_the_modern_prometheus,1797-08-30,1851-02-01
7,public,0.01,0,0,0.02,0.06,0.08,0.13,0.61,0.35,0,Mark Twain,Adventures of Huckleberry Finn,1884,5.3,1100.3,14.2,11.7,24.8,pre-1923 LitBank,,,pre-1923 LitBank,1884,1884,76_adventures_of_huckleberry_finn,1835-11-30,1910/4/21
12,public,0,0,0,0.02,0.04,0.08,0.08,0.59,0.22,0,Herman Melville,"Moby Dick; Or, The Whale",1851,7.2,118.1,26.2,16.5,17.8,pre-1923 LitBank,,,pre-1923 LitBank,1851,1851,2489_moby_dick,1819-08-01,1891-09-28
27,private,0,0,0,0.02,0.01,0.09,0.06,0.43,0.27,0,William Golding,Lord of the Flies,1954,6,113.3,1.5,1.1,1.8,Genre Fiction,Horror,,Genre Fiction：Horror,1954,1954,golding_lord_of_the_flies_Lord_of_the_Flies,1911/9/19,1993/6/19
30,public,0,0,0,0.02,0.08,0.07,0.07,0.41,0.2,0,Edgar Rice Burroughs,Tarzan of the Apes,1912,0.3,4.4,9,1.2,8.5,pre-1923 LitBank,,,pre-1923 LitBank,1912,1912,78_tarzan_of_the_apes,1875-09-01,1950/3/19
40,private,0,0,0,0.02,0.02,0.05,0.04,0.27,0.13,0,George R.R. Martin,A Game of Thrones,1996,2.6,41.3,5.7,2.7,5.6,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1996,1996,martin_a_song_of_ice_and_fire_A_Game_of_Thrones,1948/9/20,
49,private,0,0,0,0.02,0.02,0.02,0.01,0.24,0.03,0.03,Ian Fleming,Casino Royale,1953,0.1,8,9.1,1.1,5.8,Genre Fiction,Action/Spy,,Genre Fiction：Action/Spy,1953,1953,fleming_casino_royale_Casino_Royale,1888-09-10,1969/1/1
10,public,0,0,0,0.01,0.01,0.14,0.04,0.61,0.3,0,Herman Melville,"Bartleby, the Scrivener: A Story of Wall-Street",1853,6.7,684.9,23,22.9,30.8,pre-1923 LitBank,,,pre-1923 LitBank,1853,1853,11231_bartleby_the_scrivener_a_story_of_wallstreet,1819-08-01,1891-09-28
14,public,0.01,0,0,0.01,0.11,0.11,0.17,0.57,0.3,0,George Orwell,1984,1949,4.9,8791.2,24.2,15.4,13.4,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1949,1949,orwell_1984_1984,1903/6/25,1950/1/21
16,private,0,0,0,0.01,0.14,0.08,0.1,0.51,0.2,0.01,J.R.R. Tolkien,The Fellowship of the Ring,1954,4.2,1780.3,18,5.3,4.2,Genre Fiction,SF/Fantasy,,Genre Fiction：SF/Fantasy,1954,1954,tolkien_lord_of_the_rings_The_Fellowship_of_the_Ring,1892-01-03,1973/9/2
17,public,0,0,0,0.01,0.01,0.03,0.05,0.49,0.24,0.01,Frances Hodgson Burnett,The Secret Garden,1911,3.7,216.2,2.5,3.3,13.7,pre-1923 LitBank,,,pre-1923 LitBank,1911,1911,113_the_secret_garden,1849-11-24,1924/10/29
23,public,0,0,0,0.01,0.04,0.09,0.04,0.47,0.2,0.01,James Joyce,A Portrait of the Artist as a Young Man,1916,1.3,1207,18,5.4,17.9,pre-1923 LitBank,,,pre-1923 LitBank,1922,1916,4217_a_portrait_of_the_artist_as_a_young_man,1870-07-02,1931/3/25
24,public,0,0,0,0.01,0,0.02,0.01,0.45,0.1,0.01,Louisa May Alcott,Little Women,1868,2.3,100.3,9.9,3.5,15,pre-1923 LitBank,,,pre-1923 LitBank,1868,1869,514_little_women,1832-11-29,1888-03-06
33,public,0,0,0,0.01,0.01,0.02,0.01,0.36,0.02,0.02,James Joyce,Dubliners,1914,4.1,2917.9,29.4,10.1,18.7,pre-1923 LitBank,,,pre-1923 LitBank,1914,1914,2814_dubliners,1870-07-02,1931/3/25
34,public,0,0.01,0.01,0.01,0.01,0.02,0.01,0.34,0.05,0,Charles Dickens,David Copperfield,1849,2.8,13.4,8,3.9,14.8,pre-1923 LitBank,,,pre-1923 LitBank,1850,1850,766_david_copperfield,1812-02-07,1870-06-09
69,public,0,0,0,0.01,0.01,0,0,0.16,0.03,0,George Eliot,Middlemarch,1871,0.5,40.1,8.5,2.3,9.9,pre-1923 LitBank,,,pre-1923 LitBank,1871,1874,145_middlemarch,1819-11-22,1880-12-22
74,private,0,0,0,0.01,0.02,0.01,0.02,0.15,0.04,0.04,Dan Brown,Inferno,2013,0.2,1.7,0.8,0.4,2.4,Bestsellers,,,Bestsellers,2025,2013,brown_inferno_Inferno,1990/5/15,
78,public,0,0,0,0.01,0.01,0.01,0,0.13,0.04,0,Jane Austen,Persuasion,1818,0.9,2428.5,11.8,5.4,16.1,pre-1923 LitBank,,,pre-1923 LitBank,1815,1817,105_persuasion,1775-12-16,1817-07-18
88,private,0,0,0,0.01,0.04,0,0.01,0.1,0.05,0,E. L. Doctorow,Ragtime,1975,0.6,4.2,0.1,0.111,2.7,Bestsellers,,,Bestsellers,1906,1975,doctorow_ragtime_Ragtime,1931/1/6,2015/7/21
3,public,0,0,0,0,0,0.06,0.02,0.72,0.11,0,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1892,7.8,765.4,35.8,17.9,31.3,pre-1923 LitBank,,,pre-1923 LitBank,1892,1892,1661_the_adventures_of_sherlock_holmes,1859-05-22,1930/7/7
9,public,0,0,0,0,0.01,0.02,0,0.61,0.18,0,Charles Dickens,Oliver Twist,1838,2.5,34.5,6.8,3.6,21.3,pre-1923 LitBank,,,pre-1923 LitBank,1837,1838,730_oliver_twist,1812-02-07,1870-06-09
8,public,0,0,0,0,0,0.02,0.03,0.61,0.08,0,Bram Stoker,Dracula,1897,3.5,38.4,15.4,4.6,19.9,pre-1923 LitBank,,,pre-1923 LitBank,1897,1897,345_dracula,1847-11-08,1912/4/20
11,public,0,0,0,0,0.01,0,0,0.59,0.13,0,Arthur Conan Doyle,The Hound of the Baskervilles,1902,3.9,570.1,28.1,7.2,16.7,pre-1923 LitBank,,,pre-1923 LitBank,1902,1902,2852_the_hound_of_the_baskervilles,1859-05-22,1930/7/7
