Olmo 7B Accuracy,Camembert Large[0] Accuracy,Camembert Large Accuracy,Flaubert Large Accuracy,Flaubert Large[0] Accuracy,Flaubert Base Accuracy,Mistral7B Accuracy,doc_name,date,auteur,titre,canon,gender,naissance,mort,genre,droit_auteur
0.05,0.04,0.07,0.02,0.0,0.0,0.05,1867_Segur-comtesse-de_Le-Mauvais-Genie,1867,segur comtesse de,le mauvais genie,non_canon,female,1799,1874,littérature jeunesse,publique
0.03,0.0,0.03,0.0,0.0,0.0,0.0,1854_Dumas-Alexandre_Catherine-Blum,1854,dumas alexandre,catherine blum,canon,male,1802,1870,policier,publique
0.03,0.0,0.04,0.01,0.0,0.0,0.02,1849_Dumas-Alexandre_Le-Collier-de-la-reine,1849,dumas alexandre,le collier de la reine,canon,male,1802,1870,roman historique,publique
0.02,0.01,0.01,0.0,0.0,0.0,0.0,1845_Dumas-Alexandre_Le-Chevalier-de-Maison-Rouge,1845,dumas alexandre,le chevalier de maison rouge,canon,male,1802,1870,roman d'aventures,publique
0.02,0.03,0.03,0.01,0.0,0.0,0.02,1846_Dumas-Alexandre_Joseph-Balsamo-Memoires-d-un-medecin,1846,dumas alexandre,joseph balsamo memoires d un medecin,canon,male,1802,1870,roman d'aventures,publique
0.02,0.03,0.04,0.0,0.0,0.0,0.01,1849_Sue-Eugene_Les-Mysteres-du-peuple_Tome-II,1849,sue eugene,les mysteres du peuple,canon,male,1804,1857,roman historique,publique
0.02,0.0,0.04,0.0,0.0,0.0,0.01,1979_Zevaco-Michel_Fiorinda-la-belle,1979,zevaco michel,fiorinda la belle,non_canon,male,1860,1918,roman historique,publique
0.02,0.02,0.03,0.01,0.0,0.0,0.04,1846_Balzac-Honore-de_L’Envers-de-l-histoire-contemporaine,1846,balzac honore de,l’envers de l histoire contemporaine,canon,male,1799,1850,cycles et séries,publique
0.02,0.01,0.02,0.01,0.0,0.0,0.02,1861_Dumas-Alexandre_Bric-a-Brac,1861,dumas alexandre,bric a brac,canon,male,1802,1870,nouvelles,publique
0.02,0.0,0.0,0.0,0.0,0.0,0.01,1881_Tissot-Marcel_La-Veuve-d-Attila,1881,tissot marcel,la veuve d attila,non_canon,male,18??,1???,roman historique,prive
0.02,0.01,0.01,0.0,0.0,0.0,0.0,1897_Gerald-Montmeril_Chryseis-au-desert,1897,gerald montmeril,chryseis au desert,non_canon,female,,,littérature jeunesse,prive
0.01,0.01,0.09,0.01,0.01,0.0,0.0,1963_Troyat-Henri_Sophie-ou-La-Fin-des-Combats,1963,troyat henri,sophie ou la fin des combats,non_canon,male,1911,2007,roman historique,prive
0.01,0.01,0.01,0.02,0.01,0.0,0.01,1846_Balzac-Honore-de_Les-Employes,1846,balzac honore de,les employes,canon,male,1799,1850,cycles et séries,publique
0.01,0.0,0.0,0.0,0.0,0.0,0.01,1843_Balzac-Honore-de_La-Muse-du-departement,1843,balzac honore de,la muse du departement,canon,male,1799,1850,cycles et séries,publique
0.01,0.01,0.13,0.01,0.0,0.0,0.04,1838_Dupin-Antoinette_Comment-tout-finit_Tome-2,1838,dupin antoinette,comment tout finit,non_canon,female,1801,1843,nouvelles,publique
0.01,0.0,0.05,0.0,0.0,0.0,0.02,1852_Dumas-Alexandre_Conscience-l-innocent,1852,dumas alexandre,conscience l innocent,canon,male,1802,1870,roman historique,publique
0.01,0.0,0.01,0.0,0.0,0.0,0.01,1952_Delly_Malereyne,1952,delly,malereyne,non_canon,female,1875,1947,roman historique,publique
0.01,0.01,0.02,0.0,0.0,0.0,0.02,1839_Dumas-Alexandre_Blanche-de-Beaulieu-et-autres-histoires,1839,dumas alexandre,blanche de beaulieu et autres histoires,canon,male,1802,1870,nouvelles,publique
0.01,0.0,0.0,0.0,0.0,0.0,0.01,1844_Dumas-Alexandre_Les-Trois-Mousquetaires,1844,dumas alexandre,les trois mousquetaires,canon,male,1802,1870,roman d'aventures,publique
0.01,0.04,0.08,0.02,0.01,0.0,0.04,2013_Abecassis-Eliette_Le-palimpseste-d-Archimede,2013,abecassis eliette,le palimpseste d archimede,non_canon,female,1969,20--,policier,prive
